NJ, Debt collection, 1041622, Disclosure verification of debt, 
NJ, Credit card, 1040740, Transaction issue, 
NJ, Credit card, 1040984, Credit card protection / Debt protection, 
NJ, Student loan, 1041823, Can't repay my loan, 
NJ, Credit reporting, 1042124, Incorrect information on credit report, 
NJ, Credit reporting, 1042121, Incorrect information on credit report, 
NJ, Debt collection, 1042333, Cont'd attempts collect debt not owed, 
NJ, Student loan, 1042346, Dealing with my lender or servicer, 
NJ, Debt collection, 1039578, Cont'd attempts collect debt not owed, 
NJ, Credit reporting, 1039690, Incorrect information on credit report, 
NJ, Credit reporting, 1039689, Incorrect information on credit report, 
NJ, Credit reporting, 1039688, Incorrect information on credit report, 
NJ, Debt collection, 1039715, Improper contact or sharing of info, 
NJ, Consumer loan, 1038548, Shopping for a loan or lease, 
NJ, Bank account or service, 1038644, Deposits and withdrawals, 
NJ, Credit reporting, 1038734, Incorrect information on credit report, 
NJ, Credit card, 1039845, Rewards, 
NJ, Debt collection, 1039254, Cont'd attempts collect debt not owed, 
NJ, Debt collection, 1039398, Taking/threatening an illegal action, 
NJ, Debt collection, 1039397, Taking/threatening an illegal action, 
NJ, Payday loan, 1038047, Charged fees or interest I didn't expect, 
NJ, Credit reporting, 1038362, Incorrect information on credit report, 
NJ, Debt collection, 1038370, Disclosure verification of debt, 
NJ, Credit card, 1037909, Closing/Cancelling account, 
NJ, Debt collection, 1037902, Disclosure verification of debt, 
NJ, Credit reporting, 1037945, Credit reporting company's investigation, 
NJ, Credit reporting, 1037944, Credit reporting company's investigation, 
NJ, Credit reporting, 1037943, Credit reporting company's investigation, 
NJ, Consumer loan, 1038008, Taking out the loan or lease, 
NJ, Credit card, 1035912, Other, 
NJ, Credit card, 1036176, Rewards, 
NJ, Debt collection, 1036235, Cont'd attempts collect debt not owed, 
NJ, Mortgage, 1036864, Credit decision / Underwriting, 
NJ, Payday loan, 1036402, Payment to acct not credited, 
NJ, Mortgage, 1036388, Other, 
NJ, Mortgage, 1036518, Other, 
NJ, Bank account or service, 1036586, Deposits and withdrawals, 
NJ, Payday loan, 1036777, Charged fees or interest I didn't expect, 
NJ, Credit reporting, 1036921, Incorrect information on credit report, 
NJ, Credit reporting, 1036920, Incorrect information on credit report, 
NJ, Credit reporting, 1036919, Incorrect information on credit report, 
NJ, Bank account or service, 1037299, Deposits and withdrawals, 
NJ, Credit card, 1037370, Customer service / Customer relations, 
NJ, Credit card, 1037375, Delinquent account, 
NJ, Credit reporting, 1037386, Incorrect information on credit report, 
NJ, Credit card, 1037707, Billing disputes, 
NJ, Debt collection, 1034162, False statements or representation, 
NJ, Debt collection, 1034164, Cont'd attempts collect debt not owed, 
NJ, Debt collection, 1036051, Cont'd attempts collect debt not owed, 
NJ, Bank account or service, 1035080, Using a debit or ATM card, 
NJ, Debt collection, 1035329, Cont'd attempts collect debt not owed, 
NJ, Debt collection, 1035328, Cont'd attempts collect debt not owed, 
NJ, Credit reporting, 1032179, Unable to get credit report/credit score, 
NJ, Bank account or service, 1032687, Deposits and withdrawals, 
NJ, Consumer loan, 1033157, Managing the loan or lease, 
NJ, Credit card, 1032314, Bankruptcy, 
NJ, Credit card, 1033587, Billing disputes, 
NJ, Credit card, 1032825, Billing disputes, 
