ADR ARBITRATION SERVICES,Closed with explanation,1106567,Debt collection
"Receivables Management Group, Inc.",Closed,1106551,Debt collection
"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1106132,Debt collection
TransUnion,Closed with explanation,1106176,Credit reporting
Equifax,Closed with explanation,1106738,Credit reporting
"Convergent Resources, Inc.",Closed with explanation,1106199,Debt collection
Experian,In progress,1106175,Credit reporting
"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1106692,Debt collection
Allied Interstate LLC,Closed with non-monetary relief,1104601,Debt collection
Equifax,Closed with explanation,1105672,Credit reporting
Equifax,In progress,1106687,Credit reporting
Capital One,Closed with explanation,1105231,Credit card
TransUnion,In progress,1105756,Credit reporting
Ocwen,Closed with explanation,1106294,Mortgage
TransUnion,Closed with non-monetary relief,1106046,Credit reporting
TransUnion,In progress,1105673,Credit reporting
TransUnion,Closed with non-monetary relief,1106059,Credit reporting
Equifax,Closed with non-monetary relief,1106694,Credit reporting
Equifax,Closed with explanation,1105669,Credit reporting
Equifax,In progress,1106743,Credit reporting
Equifax,In progress,1102821,Credit reporting
Experian,Closed with non-monetary relief,1102236,Credit reporting
"Coastal Financial Solutions, LLC",Closed with explanation,1102437,Debt collection
"Oxford Law, LLC",Closed with explanation,1102612,Debt collection
Bank of America,Closed with explanation,1103021,Mortgage
BYL Collection Services,Closed with explanation,1102677,Debt collection
Stellar Recovery Inc.,Closed with explanation,1102751,Debt collection
"American Collections Enterprise, Inc.",Closed with explanation,1102838,Debt collection
Experian,In progress,1102759,Credit reporting
Experian,Closed with non-monetary relief,1102749,Credit reporting
Bank of America,In progress,1103888,Bank account or service
"Mercantile Adjustment Bureau, LLC",Closed with explanation,1103823,Debt collection
TransUnion,Closed with explanation,1103578,Credit reporting
Wells Fargo,Closed with explanation,1103705,Credit card
TransUnion,Closed with explanation,1103806,Credit reporting
Experian,Closed with explanation,1103793,Credit reporting
Bank of America,In progress,1103796,Mortgage
Navy FCU,In progress,1103882,Bank account or service
Equifax,In progress,1106031,Credit reporting
Nationstar Mortgage,In progress,1104328,Mortgage
Nationstar Mortgage,In progress,1103473,Mortgage
R & B Corporation of Virginia,Closed with non-monetary relief,1102245,Debt collection
Specialized Loan Servicing LLC,Closed,1103100,Mortgage
Experian,Closed with non-monetary relief,1102230,Credit reporting
Experian,In progress,1106030,Credit reporting
OneWest Bank,Closed with explanation,1103023,Mortgage
Equifax,Closed with explanation,1102848,Credit reporting
TransUnion,In progress,1104049,Credit reporting
"Nelson, Watson & Associates, LLC",Closed with explanation,1102990,Debt collection
"The CBE Group, Inc.",Closed with explanation,1103043,Debt collection
Wells Fargo,Closed with explanation,1104334,Bank account or service
Equifax,In progress,1103978,Credit reporting
TransUnion,In progress,1104050,Credit reporting
Equifax,Closed with explanation,1103975,Credit reporting
Equifax,Closed with explanation,1103996,Credit reporting
TransUnion,Closed with explanation,1104041,Credit reporting
